Species,Family,Order,DR,Insularity,MigratoryBehavior,DietBreadth,HabitatBreadth,BodySize,BrainSize,BrainSampleSize,RelativeBrainSize,BrainSD,BrainReference
Catharacta_maccormicki,Stercorariidae,CHARADRIIFORMES,0.459,continental,migrant,0.02,NA,1349,6.79,7,0.167,0.046,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Cathartes_aura,Cathartidae,ACCIPITRIFORMES,0.032,continental,migrant,0,4.607,1733.3,9.98,7,0.411,0.072,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Catharus_fuscescens,Turdidae,PASSERIFORMES,0.42,continental,migrant,0.015,2.544,41.5,0.92,7,0.12,0.075,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Catoptrophorus_semipalmatus,Scolopacidae,CHARADRIIFORMES,0.07,continental,migrant,0.014,4.377,247.25,2.33,16,0.048,0.082,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Celeus_castaneus,Picidae,PICIFORMES,0.179,continental,resident,0.165,2.179,85.6,2.11,4,0.544,0.082,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Centrocercus_urophasianus,Phasianidae,GALLIFORMES,0.271,continental,resident,0,0.998,2208.75,4,8,-0.639,0.134,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Centropus_bengalensis,Cuculidae,CUCULIFORMES,0.12,continental,resident,0.078,3.004,161.05,2.27,9,0.263,0.139,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Centropus_goliath,Cuculidae,CUCULIFORMES,0.096,insular,resident,NA,2.068,511.5,5.54,7,0.507,0.08,"Iwaniuk, A. N. (2004). Brood parasitism and brain size in cuckoos: a cautionary tale on the use of modern comparative methods. International Journal of Comparative Psychology, 17(1)."
Centropus_phasianinus,Cuculidae,CUCULIFORMES,0.131,continental,resident,0.008,3.345,389.5,4.12,10,0.364,0.084,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Cepphus_columba,Alcidae,CHARADRIIFORMES,0.154,continental,migrant,0.014,1.728,530,3.9,6,0.136,0.036,"Fristoe, T. S., Iwaniuk, A. N., & Botero, C. A. (2017). Big brains stabilize populations and facilitate colonization of variable habitats in birds. Nature ecology & evolution, 1(11), 1706."
Cepphus_grylle,Alcidae,CHARADRIIFORMES,0.1,continental,migrant,0.014,1.728,378,3.61,10,0.248,0.16,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Ceratogymna_atrata,Bucerotidae,BUCEROTIFORMES,0.08,continental,resident,NA,1.633,1203.5,13.5,1,0.918,0.071,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Cercomacra_nigrescens,Thamnophilidae,PASSERIFORMES,0.153,continental,resident,0,3.411,16.5,0.84,5,0.546,0.062,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Cercomacra_tyrannina,Thamnophilidae,PASSERIFORMES,0.18,continental,resident,0,2.779,16.3,0.74,6,0.426,0.044,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Cereopsis_novaehollandiae,Anatidae,ANSERIFORMES,0.075,continental,resident,0.113,4.846,3980,8.83,9,-0.177,0.049,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Cerorhinca_monocerata,Alcidae,CHARADRIIFORMES,0.083,continental,migrant,0.009,2.515,483,4.63,7,0.36,0.068,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Certhia_familiaris,Certhiidae,PASSERIFORMES,0.156,continental,resident,0.032,1.68,9,0.39,7,0.119,0.097,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Certhiaxis_cinnamomeus,Furnariidae,PASSERIFORMES,0.316,continental,resident,0,3.1,14.79,0.69,10,0.411,0.091,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Certhionyx_niger,Meliphagidae,PASSERIFORMES,0.037,continental,resident,0.123,2.544,9.9,0.37,2,0.013,0.175,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Certhionyx_pectoralis,Meliphagidae,PASSERIFORMES,0.053,continental,resident,0.23,4.276,10.1,0.425,1,0.14,0.071,"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu-Austral Ornithology, 114(2), 160-170."
Certhionyx_variegatus,Meliphagidae,PASSERIFORMES,0.045,continental,resident,0.149,2.562,26.3,0.84,3,0.285,0.137,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Ceryle_rudis,Alcedinidae,CORACIIFORMES,0.036,continental,resident,0.005,9.98,84.4,1.59,5,0.269,0.053,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Ceuthmochares_aereus,Cuculidae,CUCULIFORMES,0.02,continental,resident,0.143,2.88,63.9,1.33,3,0.247,0.043,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Ceyx_lepidus,Alcedinidae,CORACIIFORMES,0.184,continental,resident,0.01,2.72,19.4,0.56,9,0.05,0.107,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Ceyx_pictus,Alcedinidae,CORACIIFORMES,0.077,continental,migrant,0.014,5.056,11.4,0.43,7,0.084,0.056,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chaetura_pelagica,Apodidae,APODIFORMES,0.125,continental,migrant,0,3.92,23.6,0.46,8,-0.257,0.082,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chalcophaps_indica,Columbidae,COLUMBIFORMES,0.052,continental,resident,0.096,2.955,137.67,1.25,10,-0.246,0.087,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chalcophaps_stephani,Columbidae,COLUMBIFORMES,0.052,continental,resident,0.185,2.068,141,1.08,2,-0.405,0.033,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Chalcopsitta_atra,Psittacidae,PSITTACIFORMES,0.197,continental,resident,0,4.467,260,5.4,1,0.861,0.071,"Iwaniuk, A. N., Dean, K. M., & Nelson, J. E. (2005). Interspecific allometry of the brain and brain regions in parrots (Psittaciformes): comparisons with other birds and primates. Brain, Behavior and Evolution, 65(1), 40-59."
Chalcopsitta_cardinalis,Psittacidae,PSITTACIFORMES,0.146,insular,resident,0.024,2.235,183,5.25,1,1.03,0.071,"Iwaniuk, A. N., Dean, K. M., & Nelson, J. E. (2005). Interspecific allometry of the brain and brain regions in parrots (Psittaciformes): comparisons with other birds and primates. Brain, Behavior and Evolution, 65(1), 40-59."
Chamaea_fasciata,Timaliidae,PASSERIFORMES,0.149,continental,resident,0.083,1.82,14.75,0.77,2,0.522,0.11,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Charadrius_alexandrinus,Charadriidae,CHARADRIIFORMES,0.109,continental,migrant,0,10.387,42.3,0.89,10,0.076,0.025,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Charadrius_australis,Charadriidae,CHARADRIIFORMES,0.072,continental,resident,0.156,1.836,83.5,1.15,3,-0.049,0.071,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Charadrius_bicinctus,Charadriidae,CHARADRIIFORMES,0.094,continental,resident,0.165,6.259,59.4,1.11,8,0.107,0.074,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Charadrius_collaris,Charadriidae,CHARADRIIFORMES,0.086,continental,resident,NA,1.894,28.3,0.77,2,0.157,0.037,"Fristoe, T. S., Iwaniuk, A. N., & Botero, C. A. (2017). Big brains stabilize populations and facilitate colonization of variable habitats in birds. Nature ecology & evolution, 1(11), 1706."
Charadrius_falklandicus,Charadriidae,CHARADRIIFORMES,0.143,continental,migrant,0,3.959,65,1.11,4,0.056,0.066,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Charadrius_leschenaultii,Charadriidae,CHARADRIIFORMES,0.166,continental,migrant,0,7.896,68.5,1.26,10,0.154,0.074,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Charadrius_melodus,Charadriidae,CHARADRIIFORMES,0.084,continental,migrant,0,2.576,53.6,0.99,3,0.05,0.057,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Charadrius_modestus,Charadriidae,CHARADRIIFORMES,0.042,continental,migrant,0.021,3.314,78,1.24,5,0.065,0.066,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Charadrius_mongolus,Charadriidae,CHARADRIIFORMES,0.167,continental,migrant,0,8.62,63.74,1.13,7,0.085,0.041,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Charadrius_pecuarius,Charadriidae,CHARADRIIFORMES,0.085,continental,resident,0,8.181,34,0.82,6,0.117,0.052,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Charadrius_placidus,Charadriidae,CHARADRIIFORMES,0.095,continental,migrant,NA,3.117,62.7,1.08,3,0.049,0.027,"Fristoe, T. S., Iwaniuk, A. N., & Botero, C. A. (2017). Big brains stabilize populations and facilitate colonization of variable habitats in birds. Nature ecology & evolution, 1(11), 1706."
Charadrius_ruficapillus,Charadriidae,CHARADRIIFORMES,0.086,continental,resident,0.156,3.809,37.4,0.82,3,0.063,0.12,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Charadrius_semipalmatus,Charadriidae,CHARADRIIFORMES,0.068,continental,migrant,0,5.646,46.71,0.96,10,0.096,0.126,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Charadrius_tricollaris,Charadriidae,CHARADRIIFORMES,0.074,continental,migrant,0,3.795,37,0.76,3,-0.007,0.047,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Charadrius_vociferus,Charadriidae,CHARADRIIFORMES,0.057,continental,migrant,0.058,4.864,96.55,1.12,14,-0.157,0.074,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Charadrius_wilsonia,Charadriidae,CHARADRIIFORMES,0.086,continental,migrant,0,1.634,55.1,1.06,9,0.103,0.044,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Charmosyna_papou,Psittacidae,PSITTACIFORMES,0.166,continental,resident,0.17,1.674,83,3.45,6,1.053,0.073,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Charmosyna_pulchella,Psittacidae,PSITTACIFORMES,0.195,continental,resident,0,1.871,29.13,1.39,3,0.731,0.096,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chauna_chavaria,Anhimidae,ANSERIFORMES,0.035,continental,resident,NA,2.448,2603.5,8.51,3,0.024,0.041,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chelidoptera_tenebrosa,Bucconidae,PICIFORMES,0.055,continental,resident,0,3.893,35.9,0.85,8,0.122,0.055,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chen_caerulescens,Anatidae,ANSERIFORMES,0.448,continental,migrant,0.136,5.648,2641,10.68,10,0.243,0.061,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chen_rossii,Anatidae,ANSERIFORMES,0.448,continental,migrant,0.072,4.31,1636,6.85,4,0.067,0.048,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chenonetta_jubata,Anatidae,ANSERIFORMES,0.113,continental,resident,0,4.51,807.5,4.08,10,-0.055,0.092,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Cheramoeca_leucosterna,Hirundinidae,PASSERIFORMES,0.083,continental,resident,0,4.005,14.1,0.41,4,-0.083,0.115,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Chersomanes_albofasciata,Alaudidae,PASSERIFORMES,0.08,continental,resident,0.155,3.115,24.82,0.94,2,0.43,0.106,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chionis_albus,Chionidae,CHARADRIIFORMES,0.046,continental,migrant,0.051,1.66,677,3.97,6,0.017,0.042,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chionis_minor,Chionidae,CHARADRIIFORMES,0.046,insular,resident,0.014,2.046,510,3.4,1,0.02,0.071,"Sayol, F., Maspons, J., Lapiedra, O., Iwaniuk, A. N., Székely, T., & Sol, D. (2016). Environmental variation and the evolution of large brains in birds. Nature communications, 7, 13971."
Chiroxiphia_caudata,Pipridae,PASSERIFORMES,0.302,continental,resident,0.071,1.871,25.6,0.8,4,0.251,0.097,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chiroxiphia_linearis,Pipridae,PASSERIFORMES,0.236,continental,resident,0.024,2.484,18.53,0.68,3,0.27,0.052,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chlamydera_maculata,Ptilonorhynchidae,PASSERIFORMES,0.069,continental,resident,0.154,1.633,140,3.8,3,0.857,0.079,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Chlamydera_nuchalis,Ptilonorhynchidae,PASSERIFORMES,0.113,continental,resident,0.176,3.477,201,5.01,4,0.93,0.119,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chlidonias_hybrida,Laridae,CHARADRIIFORMES,0.237,continental,migrant,0.029,5.234,83.9,1.48,4,0.201,0.044,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chloephaga_hybrida,Anatidae,ANSERIFORMES,0.356,continental,migrant,0.044,2.141,2691.19,7.61,4,-0.107,0.084,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chloephaga_poliocephala,Anatidae,ANSERIFORMES,0.298,continental,migrant,0.113,3.718,2024.5,5.8,4,-0.219,0.122,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chloroceryle_amazona,Alcedinidae,CORACIIFORMES,0.05,continental,resident,0.014,4.019,126.5,1.95,6,0.246,0.08,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chloroceryle_americana,Alcedinidae,CORACIIFORMES,0.093,continental,resident,0.02,8.066,32.05,0.92,10,0.265,0.072,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chlorocichla_flavicollis,Pycnonotidae,PASSERIFORMES,0.108,continental,resident,0.063,3.963,45.3,1.48,4,0.546,0.101,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chlorophonia_cyanea,Thraupidae,PASSERIFORMES,0.219,continental,resident,0.096,2.381,14,0.61,4,0.319,0.023,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chloropsis_palawanensis,Chloropseidae,PASSERIFORMES,0.078,insular,resident,0.169,1,30.35,1.05,7,0.428,0.041,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chlorospingus_ophthalmicus,Thraupidae,PASSERIFORMES,0.167,continental,resident,0.118,2.277,23.25,0.98,6,0.508,0.071,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chlorospingus_pileatus,Thraupidae,PASSERIFORMES,0.147,continental,resident,0.071,2.277,19.8,1.11,1,0.723,0.071,"Sayol, F., Maspons, J., Lapiedra, O., Iwaniuk, A. N., Székely, T., & Sol, D. (2016). Environmental variation and the evolution of large brains in birds. Nature communications, 7, 13971."
Chlorostilbon_ricordii,Trochilidae,APODIFORMES,0.423,continental,resident,0.123,4.087,3.2,0.13,4,-0.4,0.051,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chlorothraupis_carmioli,Cardinalidae,PASSERIFORMES,0.188,continental,resident,NA,1.838,39,1.3,2,0.501,0.071,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chondrohierax_uncinatus,Accipitridae,ACCIPITRIFORMES,0.073,continental,resident,0.009,2.777,287,4.03,2,0.513,0.062,"Fristoe, T. S., Iwaniuk, A. N., & Botero, C. A. (2017). Big brains stabilize populations and facilitate colonization of variable habitats in birds. Nature ecology & evolution, 1(11), 1706."
Chordeiles_minor,Caprimulgidae,CAPRIMULGIFORMES,0.058,continental,migrant,0,7.279,79.3,0.85,10,-0.322,0.054,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chrysococcyx_basalis,Cuculidae,CUCULIFORMES,0.13,continental,migrant,0,2.946,23.15,0.62,8,0.053,0.08,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chrysococcyx_caprius,Cuculidae,CUCULIFORMES,0.089,continental,migrant,0.159,3.999,33,0.77,5,0.071,0.025,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chrysococcyx_lucidus,Cuculidae,CUCULIFORMES,0.123,continental,migrant,0,3.016,24.45,0.69,11,0.129,0.049,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chrysococcyx_minutillus,Cuculidae,CUCULIFORMES,0.106,continental,migrant,0,3.877,15.5,0.58,1,0.211,0.071,"Iwaniuk, A. N. (2004). Brood parasitism and brain size in cuckoos: a cautionary tale on the use of modern comparative methods. International Journal of Comparative Psychology, 17(1)."
Chrysococcyx_osculans,Cuculidae,CUCULIFORMES,0.054,continental,resident,0.175,1.581,28,0.73,1,0.109,0.071,"Iwaniuk, A. N. (2004). Brood parasitism and brain size in cuckoos: a cautionary tale on the use of modern comparative methods. International Journal of Comparative Psychology, 17(1)."
Chrysocolaptes_lucidus,Picidae,PICIFORMES,0.172,continental,resident,0,3.5,142,4.75,3,1.072,0.092,"Corfield, J. R., Birkhead, T. R., Spottiswoode, C. N., Iwaniuk, A. N., Boogert, N. J., Gutiérrez-Ibáñez, C., ... & Lefebvre, L. (2013). Brain size and morphology of the brood-parasitic and cerophagous honeyguides (Aves: Piciformes). Brain, behavior and evolution, 81(3), 170-186."
Chrysolophus_amherstiae,Phasianidae,GALLIFORMES,0.194,continental,resident,NA,1.519,738.25,3.76,7,-0.086,0.119,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chrysolophus_pictus,Phasianidae,GALLIFORMES,0.194,continental,resident,0.057,1.519,575,3.32,10,-0.071,0.059,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Chthonicola_sagittatus,Acanthizidae,PASSERIFORMES,0.071,continental,resident,0.156,2.647,13.5,0.6,1,0.322,0.071,"Sayol, F., Maspons, J., Lapiedra, O., Iwaniuk, A. N., Székely, T., & Sol, D. (2016). Environmental variation and the evolution of large brains in birds. Nature communications, 7, 13971."
Cicinnurus_regius,Paradisaeidae,PASSERIFORMES,0.149,continental,resident,0.071,1.655,53,1.74,6,0.62,0.088,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Ciconia_ciconia,Ciconiidae,CICONIIFORMES,0.084,continental,migrant,0.023,1.734,3448,14.67,6,0.411,0.088,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Cinclidium_leucurum,Muscicapidae,PASSERIFORMES,0.095,continental,resident,0.071,3.042,27,0.89,9,0.328,0.097,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Cinclodes_fuscus,Furnariidae,PASSERIFORMES,0.73,continental,migrant,0.175,4.096,30,0.88,2,0.258,0.071,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Cinclodes_patagonicus,Furnariidae,PASSERIFORMES,0.539,continental,resident,0.175,1.578,53.2,1.24,8,0.279,0.086,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Cincloramphus_cruralis,Sylviidae,PASSERIFORMES,0.155,continental,migrant,0.175,3.216,53.6,1.12,7,0.173,0.119,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Cincloramphus_mathewsi,Sylviidae,PASSERIFORMES,0.155,continental,migrant,0.155,2.876,30.25,0.9,5,0.275,0.086,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Cinclosoma_cinnamomeum,Cinclosomatidae,PASSERIFORMES,0.084,continental,resident,0.175,2.323,56.2,1.47,2,0.419,0.097,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
