Species,Family,Order,DR,Insularity,MigratoryBehavior,DietBreadth,HabitatBreadth,BodySize,BrainSize,BrainSampleSize,RelativeBrainSize,BrainSD,BrainReference
Harpia_harpyja,Accipitridae,ACCIPITRIFORMES,0.042,continental,resident,0.004,1,6550,18.75,2,0.296,0.075,"Fristoe, T. S., Iwaniuk, A. N., & Botero, C. A. (2017). Big brains stabilize populations and facilitate colonization of variable habitats in birds. Nature ecology & evolution, 1(11), 1706."
Helmitheros_vermivorum,Parulidae,PASSERIFORMES,0.082,continental,migrant,0,1.921,14.2,0.59,10,0.277,0.061,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Hemiphaga_novaeseelandiae,Columbidae,COLUMBIFORMES,0.05,insular,resident,0,2.456,653,2.97,6,-0.253,0.069,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Hemiprocne_mystacea,Hemiprocnidae,APODIFORMES,0.035,continental,resident,0,3.145,70.1,1.1,4,0.005,0.046,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Hemithraupis_guira,Thraupidae,PASSERIFORMES,0.212,continental,resident,0.185,2.556,12,0.57,3,0.337,0.069,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Hemitriccus_margaritaceiventer,Tyrannidae,PASSERIFORMES,0.21,continental,resident,0,2.766,7.73,0.45,2,0.347,0.031,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Henicophaps_albifrons,Columbidae,COLUMBIFORMES,0.096,continental,resident,0.071,1.944,260,2.1,1,-0.084,0.071,"Sayol, F., Maspons, J., Lapiedra, O., Iwaniuk, A. N., Székely, T., & Sol, D. (2016). Environmental variation and the evolution of large brains in birds. Nature communications, 7, 13971."
Henicorhina_leucosticta,Troglodytidae,PASSERIFORMES,0.106,continental,resident,0,1.47,14.2,0.78,6,0.556,0.097,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Herpetotheres_cachinnans,Falconidae,FALCONIFORMES,0.024,continental,resident,0.014,2.762,625,6.55,4,0.562,0.067,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Heteromyias_albispecularis,Petroicidae,PASSERIFORMES,0.028,continental,resident,0,1.47,38.5,1.05,1,0.294,0.071,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Heterophasia_melanoleuca,Timaliidae,PASSERIFORMES,0.436,continental,resident,NA,1,32.6,1.16,3,0.487,0.025,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Heteroscelus_brevipes,Scolopacidae,CHARADRIIFORMES,0.082,continental,migrant,0.005,4.605,107,1.34,8,-0.035,0.036,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Heteroscelus_incanus,Scolopacidae,CHARADRIIFORMES,0.082,continental,migrant,NA,7.131,108.5,1.29,7,-0.081,0.043,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Hieraaetus_morphnoides,Accipitridae,ACCIPITRIFORMES,0.213,continental,resident,0.009,3.739,791,7.81,5,0.606,0.078,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Himantopus_himantopus,Recurvirostridae,CHARADRIIFORMES,0.186,continental,migrant,0.072,6.688,177.25,1.9,7,0.031,0.108,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Himantopus_mexicanus,Recurvirostridae,CHARADRIIFORMES,0.181,continental,migrant,NA,4.179,186,1.9,9,0.004,0.071,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Himatione_sanguinea,Fringillidae,PASSERIFORMES,0.308,insular,resident,0.123,1.47,14.4,0.67,3,0.397,0.034,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
